Molecular Weight,Ligand Efficiency BEI,pChEMBL Value,lo10(pChEMBL Value),log10(Ligand Efficiency BEI),Ligand Efficiency BEI/MW
2370.74,2.94,6.97,2.531651149,2.906536597,0.001240119
2442.83,3.05,7.46,2.515154417,2.903593406,0.001248552
2461.9,2.31,5.68,2.636922073,3.027658428,0.0009383
2484.98,2.34,5.82,2.630399913,3.02610704,0.000941657
2348.79,2.56,6.02,2.591247698,2.962604224,0.001089923
4446.19,1.65,7.34,2.782291958,3.430504073,0.000371104
2458.81,3.05,7.5,2.515663707,2.906425131,0.001240437
2516.98,2.49,6.28,2.602920121,3.004680418,0.000989281
2461.9,2.46,6.07,2.608081717,3.000335301,0.000999228
2428.87,2.49,6.05,2.603648896,2.989204924,0.001025168
2500,2.58,6.46,2.587707491,2.986320303,0.001032
2500,2.46,6.16,2.608359297,3.007004902,0.000984
2360.84,2.8,6.6,2.553522619,2.925908524,0.001186019
2461.9,2.96,7.29,2.52854288,2.919978697,0.001202323
2841.44,3.06,8.69,2.514518713,2.967817063,0.001076919
2689.33,3.02,8.11,2.520623242,2.949637154,0.001122956
2859.45,3.17,9.06,2.499154309,2.955223245,0.001108605
2889.55,3.03,8.76,2.518326108,2.979387585,0.001048606
2883.48,3.13,9.04,2.503748513,2.964372606,0.001085494
2654.02,1.88,5,2.724934187,3.149746342,0.000708359
2887.51,2.32,6.7,2.634448694,3.095035512,0.00080346
2389.84,3.08,7.36,2.511491012,2.889818109,0.001288789
2461.9,2.61,6.44,2.582384541,2.974629901,0.001060157
2461.9,2.31,5.68,2.636922073,3.027658428,0.0009383
2291.62,3.11,7.12,2.50766261,2.867382215,0.001357119
2450.83,2.78,6.82,2.555528813,2.945268392,0.00113431
2410.77,2.92,7.04,2.534583119,2.916772927,0.001211231
2316.65,2.99,6.92,2.524754331,2.889189237,0.001290657
2410.77,3.09,7.46,2.509416951,2.892197299,0.001281748
2413.9,3.01,7.27,2.521184864,2.904152779,0.001246945
2315.71,2.61,6.04,2.583647232,2.948043664,0.001127084
2429.81,2.68,6.5,2.572658958,2.957437521,0.001102967
2400.82,2.75,6.6,2.560815665,2.941026906,0.001145442
2457.82,2.85,7,2.545452034,2.935705214,0.001159564
2286.67,3.06,7,2.514105454,2.873482068,0.00133819
2373.7,2.95,7,2.53032779,2.905603814,0.001242786
2458.83,2.85,7,2.545630463,2.935883643,0.001159088
2392.77,2.93,7,2.533802915,2.912033335,0.001224522
2461.9,2.68,6.6,2.571726473,2.963135614,0.00108859
2374.73,3.31,7.85,2.480744582,2.855786245,0.001393843
2512.9,2.77,6.95,2.558190402,2.957695437,0.001102312
2960.67,1.95,5.76,2.71096752,3.181355392,0.000658635
2902.5,1.92,5.57,2.716917033,3.179471,0.000661499
2342.73,2.64,6.18,2.578733764,2.948118312,0.00112689
2519,2.53,6.37,2.597088735,2.998107646,0.001004367
2534.01,2.16,5.48,2.665027766,3.069354573,0.000852404
2486.91,2.94,7.31,2.531742692,2.927312738,0.00118219
2518.93,3,7.55,2.523269147,2.924094844,0.001190982
2401.8,3.14,7.54,2.503165495,2.883607192,0.001307353
2636.07,2.01,5.3,2.696681069,3.117760881,0.000762499
2855.47,1.93,5.5,2.715314912,3.170120293,0.000675896
2500.94,2.96,7.41,2.528285065,2.926811562,0.001183555
2415.79,2.75,6.63,2.561545651,2.943726485,0.001138344
2546.95,1.96,5,2.707050415,3.113764348,0.000769548
2568.89,1.95,5,2.710775504,3.119710897,0.000759083
3487.05,1.55,5.39,2.810869409,3.352126476,0.000444502
3107.76,1.44,4.48,2.841169459,3.33408498,0.000463356
2508.96,2.91,7.29,2.536766209,2.935600748,0.001159843
2458.9,2.87,7.05,2.54255175,2.93285897,0.001167189
2477.9,2.66,6.6,2.57453984,2.969202139,0.00107349
2548,2.68,6.84,2.571143322,2.97806463,0.001051805
2472.84,2.96,7.33,2.528092043,2.921904306,0.001197004
3575.19,1.94,6.94,2.711939656,3.265497397,0.000542629
2388.76,2.76,6.6,2.558628583,2.937263436,0.001155411
2419.73,2.73,6.6,2.564222973,2.947604262,0.001128225
3749.54,1.4,5.26,2.852992247,3.427849955,0.000373379
2911.53,2.75,8,2.561031282,3.024788576,0.000944521
2823.38,2.85,8.05,2.544973454,2.995924474,0.001009428
2433.89,2.87,6.97,2.543068168,2.92841905,0.001179182
2601.22,2.31,6.01,2.636302613,3.051565105,0.000888045
2705.11,1.85,5,2.733214926,3.165013201,0.000683891
2646.09,2,5.3,2.698328742,3.121574616,0.000755832
2659.08,1.99,5.3,2.700455534,3.125878327,0.000748379
2675.08,1.87,5,2.72836677,3.155495168,0.000699045
2358.73,3.08,7.28,2.510546851,2.884127514,0.001305787
2643.26,2.38,6.3,2.622799334,3.045562927,0.000900403
2900.55,2.06,5.97,2.686506025,3.148613136,0.00071021
2425.96,1.98,4.79,2.704548122,3.088218446,0.000816172
2424.79,2.92,7.07,2.535254719,2.919291281,0.001204228
2477.82,2.97,7.36,2.52719194,2.921313305,0.001198634
3575.19,1.94,6.94,2.711939656,3.265497397,0.000542629
2442.81,2.87,7,2.542791649,2.930007792,0.001174876
2400.82,2.92,7,2.53526156,2.914976749,0.001216251
3786.55,1.95,7.39,2.709599258,3.288209085,0.000514981
2473.82,2.99,7.41,2.523549888,2.917696908,0.001208657
2494.89,2.97,7.4,2.527819683,2.924294953,0.001190433
2371.78,3.21,7.62,2.493119431,2.86856937,0.001353414
2374.69,3.28,7.8,2.483512321,2.85973308,0.001381233
2372.76,3.19,7.57,2.496157933,2.871463129,0.001344426
2985.63,2.31,6.91,2.635557939,3.111424006,0.000773706
2504.97,2.73,6.84,2.563746427,2.962639882,0.001089833
2475.97,2.83,7,2.548647338,2.941958943,0.001142986
2429.82,2.86,6.95,2.543589298,2.929208069,0.001177042
2490.99,2.58,6.42,2.588836956,2.984752278,0.001035733
2316.65,2.85,6.6,2.54531649,2.910015565,0.001230225
2519,2.59,6.53,2.586314986,2.987928403,0.001028186
2410.77,2.76,6.65,2.559334133,2.941246696,0.001144862
2486.91,2.94,7.31,2.531742692,2.927312738,0.00118219
2461.9,2.98,7.35,2.524983069,2.917054144,0.001210447
2443.8,3.04,7.42,2.517661755,2.905192077,0.001243964
2461.9,2.71,6.68,2.566493946,2.958301117,0.001100776
